,燃薪虫,双灯鱼,月牙雪熊,粉粉星,空空颅,嗜光嗡嗡,贝瑟,粉星仔,格兰种子,奇丽草,红绒十字,呼呼猪,大耳帽兜,酷拉,恶魔狼,机械方方,火红尾
燃薪虫,1,,,,,1,,,1,1,,,,,,,,
双灯鱼,,1,,,,,,,,,,,,,,,,
月牙雪熊,,,1,,1,,,,,,1,1,,,1,,1,1
粉粉星,,,,1,,,,1,1,,1,,1,1,,,,
空空颅,,,1,,1,,,,,,,,,,,,,
嗜光嗡嗡,1,,,,,1,,,,,,,,,,,,
贝瑟,,,,,,,1,,,,,,,,,1,,
粉星仔,,,,1,,,,1,1,,1,,1,1,,,,
格兰种子,1,,,1,,,,1,1,1,1,,1,1,,,,
奇丽草,1,,,,,,,,1,1,,,,,,,,
红绒十字,,,1,1,,,,1,1,,1,1,1,1,1,,1,
呼呼猪,,,1,,,,,,,,1,1,,,1,,1,
大耳帽兜,,,,1,,,,1,1,,1,,1,1,,1,,
酷拉,,,,1,,,,1,1,,1,,1,1,,,,
恶魔狼,,,1,,,,,,,,1,1,,,1,,1,
机械方方,,,,,,,1,,,,,,1,,,1,,
火红尾,,,1,,,,,,,,1,1,,,1,,1,

